"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2023","250.000","2,116.885","2,116.995","250.390","0.00K","-0.20%"
"01/26/2023","250.500","231.775","250.500","231.125","0.41K","8.18%"
"01/25/2023","231.550","231.500","231.785","230.750","1.13K","0.24%"
"01/24/2023","231.000","231.375","231.520","230.150","1.08K","0.11%"
"01/23/2023","230.750","229.875","231.385","229.150","0.75K","0.44%"
"01/20/2023","229.750","229.925","230.175","229.500","1.25K","-0.04%"
"01/19/2023","229.850","229.625","229.935","228.875","0.70K","0.26%"
"01/18/2023","229.250","229.500","229.635","228.750","0.53K","0.11%"
"01/17/2023","229.000","228.875","229.510","228.525","0.55K","0.11%"
"01/16/2023","228.750","228.800","228.925","228.425","0.52K","0.07%"
"01/13/2023","228.600","228.665","228.925","228.000","0.48K","0.12%"
"01/12/2023","228.330","228.540","228.690","227.875","0.85K","0.11%"
"01/11/2023","228.080","228.540","228.565","227.875","0.64K","0.00%"
"01/10/2023","228.080","228.285","228.540","227.475","1.07K","0.22%"
"01/09/2023","227.570","228.225","228.295","227.350","0.69K","0.05%"
"01/06/2023","227.450","228.125","228.235","227.000","0.53K","0.09%"
"01/05/2023","227.250","226.950","228.125","226.875","0.48K","0.42%"
"01/04/2023","226.290","226.900","227.220","226.645","0.01K","-0.09%"
"01/03/2023","226.500","226.700","227.150","226.450","0.42K","0.04%"
"01/02/2023","226.400","226.700","226.700","226.700","","0.00%"
"12/30/2022","226.400","226.700","226.865","226.250","0.47K","0.00%"
"12/29/2022","226.400","226.750","226.760","225.750","0.54K","-0.04%"
"12/28/2022","226.500","226.625","226.825","225.875","0.53K","0.11%"